ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 09:59:54.975208998,CgflZ13ybYBXTEgAvi,192.168.127.114,56266,192.168.127.134,53,udp,dns,0 days 00:00:00.055739,50,176,SF,T,T,0,Dd,1,78,1,204,
2024-12-16 09:59:54.975614071,CyU9mpNNl606E5uJi,192.168.127.114,34226,192.168.127.134,53,udp,dns,0 days 00:00:00.061160,50,234,SF,T,T,0,Dd,1,78,1,262,
2024-12-16 09:59:55.037101984,C9yxrt2diu1QPx2Xwa,192.168.127.114,50785,192.168.127.134,53,udp,dns,0 days 00:00:00.047208,60,137,SF,T,T,0,Dd,1,88,1,165,
2024-12-16 09:59:05.721227884,CX98VA2t5shazpJxr,192.168.127.114,55102,172.217.25.202,443,udp,quic,0 days 00:00:00.806031,7340,6784,SF,T,F,0,Dd,13,7704,16,7232,
2024-12-16 10:00:00.200301886,CuUJzJ4Juyy6xIhHh,192.168.127.114,54767,192.168.127.134,53,udp,dns,0 days 00:00:00.056300,46,101,SF,T,T,0,Dd,1,74,1,129,
2024-12-16 10:00:00.261168002,C948dq1BkMtjMaxDE5,192.168.127.114,38190,192.168.127.134,53,udp,dns,0 days 00:00:00.007068,46,46,SF,T,T,0,Dd,1,74,1,74,
2024-12-16 10:00:00.273683071,CkH0NS2H7cWj2KiyA5,192.168.127.114,59015,192.168.127.134,53,udp,dns,0 days 00:00:00.006380,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:00:00.310137987,Cpdyc42kZCsjBhx1zg,192.168.127.114,51824,192.168.127.134,53,udp,dns,0 days 00:00:00.004602,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:00:00.330110073,Cerh184AdqeXJDTiDf,192.168.127.114,40507,192.168.127.134,53,udp,dns,0 days 00:00:00.038116,44,122,SF,T,T,0,Dd,1,72,1,150,
2024-12-16 10:00:00.382998943,CuCGKh4mjyNjmenCXl,192.168.127.114,60837,192.168.127.134,53,udp,dns,0 days 00:00:00.037970,46,101,SF,T,T,0,Dd,1,74,1,129,
2024-12-16 10:00:00.435872078,ClQMI22DxN7KIo1mba,192.168.127.114,58642,192.168.127.134,53,udp,dns,0 days 00:00:00.039188,45,83,SF,T,T,0,Dd,1,73,1,111,
2024-12-16 10:00:00.489500046,CftXRl1SmDS6dA0N6e,192.168.127.114,44599,192.168.127.134,53,udp,dns,0 days 00:00:00.037172,38,62,SF,T,T,0,Dd,1,66,1,90,
2024-12-16 10:00:00.542279959,CDfcm137UPQfdgW5j4,192.168.127.114,54991,192.168.127.134,53,udp,dns,0 days 00:00:00.378953,90,166,SF,T,T,0,Dd,1,118,1,194,
2024-12-16 10:00:00.937860966,CXi6ziXUbEap0qyF4,192.168.127.114,41573,192.168.127.134,53,udp,dns,0 days 00:00:00.039951,42,70,SF,T,T,0,Dd,1,70,1,98,
2024-12-16 10:00:00.993525982,CK2jn43FFelUIr8Tab,192.168.127.114,51822,192.168.127.134,53,udp,dns,0 days 00:00:00.036470,46,85,SF,T,T,0,Dd,1,74,1,113,
2024-12-16 10:00:01.044575930,CcXc0f3s4n73BzG4Z,192.168.127.114,41557,192.168.127.134,53,udp,dns,0 days 00:00:00.005956,46,46,SF,T,T,0,Dd,1,74,1,74,
2024-12-16 10:00:01.065357924,CmBBcl10dE6xj8NOOl,192.168.127.114,57864,192.168.127.134,53,udp,dns,0 days 00:00:00.043365,44,143,SF,T,T,0,Dd,1,72,1,171,
2024-12-16 10:00:10.552738905,CuRc3i2q8iDIeSjUJ5,192.168.127.114,51204,185.125.190.49,80,tcp,http,0 days 00:00:00.702357,87,189,SF,T,F,0,ShADadfF,5,307,5,401,
2024-12-16 10:00:10.489613056,Cdqlqx2C4fL4Y6JYD9,192.168.127.114,48542,192.168.127.134,53,udp,dns,0 days 00:00:00.061192,47,239,SF,T,T,0,Dd,1,75,1,267,
2024-12-16 09:58:09.677217007,COOFZq4QGp14bCtj4e,192.168.127.114,53827,142.251.222.227,443,udp,quic,0 days 00:01:11.260628,9956,8699,SF,T,F,0,Dd,56,11524,62,10435,
2024-12-16 10:00:14.575135946,CrPWiO2H5NdLS9Lf96,192.168.127.114,52257,192.168.127.134,53,udp,dns,0 days 00:00:00.049007,37,247,SF,T,T,0,Dd,1,65,1,275,
2024-12-16 10:00:14.575249910,CGrdOsEdYG63zlo92,192.168.127.114,46730,192.168.127.134,53,udp,dns,0 days 00:00:00.065689,37,303,SF,T,T,0,Dd,1,65,1,331,
2024-12-16 10:00:14.641345978,C9LveQ3QQq9bOtO1hc,192.168.127.114,38014,192.168.127.134,53,udp,dns,0 days 00:00:00.066170999,49,121,SF,T,T,0,Dd,1,77,1,149,
2024-12-16 09:59:27.205929041,CADPbEO5eUr8KJErj,192.168.127.114,51314,142.251.43.195,443,udp,quic,0 days 00:00:00.369869,4567,6029,SF,T,F,0,Dd,11,4875,13,6393,
2024-12-16 09:59:28.680244923,Cd7ZOb4Lnkga9qEhK2,192.168.127.114,35937,142.251.222.227,443,udp,quic,0 days 00:00:00.169447,6160,5970,SF,T,F,0,Dd,13,6524,17,6446,
2024-12-16 10:00:27.774979115,CBm0NR3S6XfXi8Fj4l,192.168.127.114,37791,192.168.127.134,53,udp,dns,0 days 00:00:00.040668,49,65,SF,T,T,0,Dd,1,77,1,93,
2024-12-16 10:00:27.775283098,C3bfmW38znyW6GGoC5,192.168.127.114,59254,192.168.127.134,53,udp,dns,0 days 00:00:00.040408,49,99,SF,T,T,0,Dd,1,77,1,127,
2024-12-16 10:00:32.986862898,C8k9di7c2bLuin6rl,192.168.127.114,57668,192.168.127.134,53,udp,dns,0 days 00:00:00.061041,74,90,SF,T,T,0,Dd,1,102,1,118,
2024-12-16 10:00:32.987248898,CuG39C3PP7ZuyrDMl6,192.168.127.114,41252,192.168.127.134,53,udp,dns,0 days 00:00:00.063042,74,134,SF,T,T,0,Dd,1,102,1,162,
2024-12-16 09:59:20.066410065,CKe7TG1ViTUoR3OCXf,192.168.127.114,36531,142.251.222.234,443,udp,,0 days 00:00:26.497656,11770,6739,SF,T,F,0,Dd,51,13198,46,8027,
2024-12-16 09:59:59.680275917,Cpb8Ro3FFVXlEhlKv5,192.168.127.114,58960,142.251.222.227,443,udp,,0 days 00:00:00.383184,6195,5028,SF,T,F,0,Dd,13,6559,13,5392,
2024-12-16 09:59:32.926831961,Ce4hih3XIHqsiwCUK6,192.168.127.114,55961,172.217.26.74,443,udp,quic,0 days 00:00:28.343645,7652,6738,SF,T,F,0,Dd,37,8688,38,7802,
2024-12-16 10:00:53.832245111,CPYjyLVbnb7g2t8v1,192.168.127.114,35081,192.168.127.134,53,udp,dns,0 days 00:00:00.034527,43,88,SF,T,T,0,Dd,1,71,1,116,
2024-12-16 10:00:53.832361937,CDtX4i1o1MNL08QpC2,192.168.127.114,58589,192.168.127.134,53,udp,dns,0 days 00:00:00.047992,43,129,SF,T,T,0,Dd,1,71,1,157,
2024-12-16 10:00:53.856005907,CPbqXK2p1wJSupt3T3,192.168.127.114,33047,192.168.127.134,53,udp,dns,0 days 00:00:00.029982,35,51,SF,T,T,0,Dd,1,63,1,79,
2024-12-16 10:00:53.856118917,C3cDmz2CWngYl5xi75,192.168.127.114,34544,192.168.127.134,53,udp,dns,0 days 00:00:00.037893,35,60,SF,T,T,0,Dd,1,63,1,88,
2024-12-16 10:00:53.880565882,CAnpDD3rKH9JeYGOu8,192.168.127.114,60125,192.168.127.134,53,udp,dns,0 days 00:00:00.055333,54,111,SF,T,T,0,Dd,1,82,1,139,
2024-12-16 10:00:12.452387094,CcZNb13HKY4RPBTvmd,192.168.127.114,48142,239.255.255.250,1900,udp,,0 days 00:00:03.002892,692,0,S0,T,F,0,D,4,804,0,0,
2024-12-16 10:00:01.727180004,Cf0ife26d2YmgsXF6j,192.168.127.114,57531,172.217.25.202,443,udp,quic,0 days 00:00:13.870663,8831,13971,SF,T,F,0,Dd,26,9559,32,14867,
2024-12-16 10:01:08.659997940,CIyM0J2pAsYYHGUBWi,192.168.127.114,42583,192.168.127.134,53,udp,dns,0 days 00:00:00.045133,28,44,SF,T,T,0,Dd,1,56,1,72,
2024-12-16 10:01:08.660254002,CnAAKZiWGTx7y8f3f,192.168.127.114,36101,192.168.127.134,53,udp,dns,0 days 00:00:00.051977,28,56,SF,T,T,0,Dd,1,56,1,84,
2024-12-16 10:01:08.766402960,Cdwx2n4saxGtXOXzxh,192.168.127.114,37004,192.168.127.134,53,udp,dns,0 days 00:00:00.037056,45,84,SF,T,T,0,Dd,1,73,1,112,
2024-12-16 10:00:27.156121969,CxX0dm4ot8kpaSmzw,192.168.127.114,59175,142.251.43.195,443,udp,quic,0 days 00:00:00.352233,4456,6008,SF,T,F,0,Dd,10,4736,12,6344,
2024-12-16 10:00:30.679121017,CgRaZl7SBH2Xp4C0f,192.168.127.114,34717,142.251.222.227,443,udp,,0 days 00:00:00.559834,7033,4661,SF,T,F,0,Dd,14,7425,14,5053,
2024-12-16 10:01:28.379276037,CfgQmy3RheBvPShazb,192.168.127.114,42253,192.168.127.134,53,udp,dns,0 days 00:00:00.070597,28,53,SF,T,T,0,Dd,1,56,1,81,
2024-12-16 10:01:29.582390070,CmGJwJ3V2IxMsOSESi,192.168.127.114,39091,192.168.127.134,53,udp,dns,0 days 00:00:00.068730,49,65,SF,T,T,0,Dd,1,77,1,93,
2024-12-16 10:01:29.582726955,Cju24w2F4lCnvcFmW9,192.168.127.114,58914,192.168.127.134,53,udp,dns,0 days 00:00:00.051243,49,99,SF,T,T,0,Dd,1,77,1,127,
2024-12-16 10:00:27.818120956,CJewW13EBSS9Wob9dc,192.168.127.114,45555,142.251.222.234,443,udp,quic,0 days 00:00:19.884749,4499,4811,SF,T,F,0,Dd,25,5199,26,5539,
2024-12-16 10:00:14.634938955,CejX7e4ESZEKkLehpj,192.168.127.114,34966,13.107.246.59,443,tcp,ssl,0 days 00:01:30.189585,3340,46460,SF,T,F,35000,ShADadcgfF,23,4280,26,12512,
2024-12-16 10:01:43.516568899,ClApfj3TJqZkQWMmec,192.168.127.114,51378,192.168.127.134,53,udp,dns,0 days 00:00:00.060582,47,383,SF,T,T,0,Dd,1,75,1,411,
2024-12-16 10:00:53.893930912,CwLWrF1LZViUjJnlZi,192.168.127.114,44897,142.250.199.35,443,udp,quic,0 days 00:00:00.163907,5978,5456,SF,T,F,0,Dd,9,6230,11,5764,
2024-12-16 10:00:33.052475929,CO30uE4GBo9SLFtPz2,192.168.127.114,40460,142.251.223.74,443,udp,,0 days 00:00:21.009747,10026,6232,SF,T,F,0,Dd,29,10838,27,6988,
2024-12-16 10:00:53.874670982,CHBjkW1DiZroUBoqpk,192.168.127.114,38807,216.58.196.1,443,udp,quic,0 days 00:00:00.188647,6387,27375,SF,T,F,0,Dd,20,6947,29,28187,
