ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:00:00.261168002,C948dq1BkMtjMaxDE5,192.168.127.114,38190,192.168.127.134,53,udp,dns,0 days 00:00:00.007068,46,46,SF,T,T,0,Dd,1,74,1,74,
2024-12-16 10:00:00.273683071,CkH0NS2H7cWj2KiyA5,192.168.127.114,59015,192.168.127.134,53,udp,dns,0 days 00:00:00.006380,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:00:00.310137987,Cpdyc42kZCsjBhx1zg,192.168.127.114,51824,192.168.127.134,53,udp,dns,0 days 00:00:00.004602,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:00:01.044575930,CcXc0f3s4n73BzG4Z,192.168.127.114,41557,192.168.127.134,53,udp,dns,0 days 00:00:00.005956,46,46,SF,T,T,0,Dd,1,74,1,74,
2024-12-16 10:07:13.408482075,C1qIpj3PGdOtSbav7i,192.168.28.229,36781,192.168.28.1,53,udp,dns,0 days 00:00:00.004856,45,45,SF,T,T,0,Dd,1,73,1,73,
2024-12-16 10:07:13.413846016,CfQ9Of1ZedhNcqbnX9,192.168.28.229,39721,192.168.28.1,53,udp,dns,0 days 00:00:00.005078,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:13.419317961,Ca0HuX3np3Xq8J3jb5,192.168.28.229,37012,192.168.28.1,53,udp,dns,0 days 00:00:00.004865,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:13.424618006,CZjyMC3Am9Z7A7QoIf,192.168.28.229,47141,192.168.28.1,53,udp,dns,0 days 00:00:00.004970,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:13.430010080,CL25y2IwXejLfUHli,192.168.28.229,43448,192.168.28.1,53,udp,dns,0 days 00:00:00.005860,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:13.436300993,CMcaJK30ynexVfd7Nd,192.168.28.229,34527,192.168.28.1,53,udp,dns,0 days 00:00:00.005343,40,40,SF,T,T,0,Dd,1,68,1,68,
2024-12-16 10:07:13.442099094,CC9v3b2t4FOdcJp2oe,192.168.28.229,54978,192.168.28.1,53,udp,dns,0 days 00:00:00.005361,40,40,SF,T,T,0,Dd,1,68,1,68,
