ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:00:12.452387094,CcZNb13HKY4RPBTvmd,192.168.127.114,48142,239.255.255.250,1900,udp,,0 days 00:00:03.002892,692,0,S0,T,F,0,D,4,804,0,0,
2024-12-16 10:02:12.453722000,CNnfzL1s39WpPytnpe,192.168.127.114,33704,239.255.255.250,1900,udp,,0 days 00:00:03.001855,692,0,S0,T,F,0,D,4,804,0,0,
2024-12-16 10:04:12.453912020,C6sVTc4w5x8Ixn9kB1,192.168.127.114,52678,239.255.255.250,1900,udp,,0 days 00:00:03.001821,692,0,S0,T,F,0,D,4,804,0,0,
2024-12-16 10:06:44.681297064,C6on4D1vyCNgixXht2,fe80::ec58:14ff:fe6f:7204,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,85,0,0,
2024-12-16 10:06:44.681210041,Ck453u9jaQl1q7eFi,192.168.127.134,5353,224.0.0.251,5353,udp,dns,0 days 00:00:01.006423,74,0,S0,T,F,0,D,2,130,0,0,
2024-12-16 10:06:12.454890966,CjMhwJ1ZdZC05PFVaf,192.168.127.114,55446,239.255.255.250,1900,udp,,0 days 00:00:03.001562,692,0,S0,T,F,0,D,4,804,0,0,
2024-12-16 10:07:13.405342102,Cgye9a36FkKKQOWzt2,192.168.28.31,5353,224.0.0.251,5353,udp,dns,,,,S0,T,F,0,D,1,1337,0,0,
2024-12-16 10:07:13.405373096,C1WniF1kDAioyGfn2a,fe80::decd:2fff:fea3:6eec,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,1357,0,0,
2024-12-16 10:07:14.730659008,CZ7NFj4lcwBQZpBr32,192.168.28.211,5353,224.0.0.251,5353,udp,dns,,,,S0,T,F,0,D,1,69,0,0,
2024-12-16 10:07:14.730684042,C59QCI2mM4rrFNSSW,fe80::1001:16db:2a8b:ffdc,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,89,0,0,
2024-12-16 10:07:22.145478964,Cxr5a64eb5A1cb7WHk,10.1.52.76,53204,192.168.127.114,16443,tcp,,0 days 00:00:03.406320,0,0,SH,T,T,0,F,6,312,0,0,
2024-12-16 10:07:13.451833010,C6ii8wmPKhHIVnv6b,10.1.52.76,53210,192.168.127.114,16443,tcp,,0 days 00:00:13.024018,46,0,SH,T,T,0,DTF,6,542,0,0,
