ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:01:08.712841034,CH61s62kWa7ZpGJfja,192.168.127.114,8,142.250.199.46,0,icmp,,0 days 00:00:52.136752,2968,2968,OTH,T,F,0,,53,4452,53,4452,
2024-12-16 10:05:48.568643093,Cmsq5x3GtRgx0mAtSj,192.168.127.114,3,216.58.200.10,3,icmp,,0 days 00:00:00.023679,1644,0,OTH,T,F,0,,3,1728,0,0,
2024-12-16 10:05:48.520392894,CNdJtu40fqAxq8kCB7,192.168.127.114,3,216.58.199.238,3,icmp,,0 days 00:00:36.877307,1644,0,OTH,T,F,0,,3,1728,0,0,
2024-12-16 10:06:25.909029007,CDTBFu1N1ax0BsmSj8,35.228.14.46,3,192.168.127.114,3,icmp,,0 days 00:00:00.009184,56,0,OTH,F,T,0,,2,112,0,0,
2024-12-16 10:06:45.629328012,CAZ2Et4SmEaUSEBZx2,192.168.127.114,3,172.217.25.206,3,icmp,,,,,OTH,T,F,0,,1,576,0,0,
2024-12-16 10:06:43.699841976,C7sjqo1BfsGh5YVfo5,fe80::e0ff:c9cb:ac25:7736,143,ff02::16,0,icmp,,0 days 00:00:12.932160,160,0,OTH,T,F,0,,4,384,0,0,
2024-12-16 10:07:13.899822950,C0pqDF2UDagLERAXY2,::,135,ff02::1:ff77:aafc,136,icmp,,,,,OTH,T,F,0,,1,72,0,0,
2024-12-16 10:07:13.019850969,CbDL481w3jPKpTg9Al,::,143,ff02::16,0,icmp,,0 days 00:00:00.943979,80,0,OTH,T,F,0,,2,192,0,0,
2024-12-16 10:07:14.923907995,Cj8QB422kJh9MN4Sn6,fe80::2605:4ff9:fc77:aafc,143,ff02::16,0,icmp,,0 days 00:00:00.736058,160,0,OTH,T,F,0,,4,384,0,0,
2024-12-16 10:07:15.672341108,C5ResY2TRLn7Pqb6t9,fe80::2605:4ff9:fc77:aafc,133,ff02::2,134,icmp,,0 days 00:00:08.000138,0,0,OTH,T,F,0,,3,144,0,0,
2024-12-16 10:14:36.367187977,C16zUD3A6Gjk1ZXmN1,192.168.28.229,3,199.232.164.84,3,icmp,,,,,OTH,T,F,0,,1,95,0,0,
